case,weight
(2),50
(4),50
"(1, 2)",56
"(1, 4)",56
"(2, 2)",65
"(2, 4)",65
"(3, 0)",85
"(1, 2)",56
"(1, 4)",56
"(2, 2)",54
"(2, 4)",54
"(3, 0)",40
"(1, 2)",56
"(1, 4)",56
"(2, 2)",54
"(2, 4)",54
"(3, 0)",40
"(1, 2)",29
"(1, 4)",29
"(2, 2)",20
"(2, 4)",20
"(3, 0)",10
"(1, 2)",50
"(1, 4)",50
"(2, 2)",50
"(2, 4)",50
"(3, 0)",50
tt,90
tt,10
