case,weight
"(7, 6, 6)",50
"(8, 0, 4)",10
"(8, 0, 6)",90
"(9, 0, 0)",46
"(1, 4, 4)",50
"(1, 4, 6)",50
"(1, 6, 4)",50
"(1, 6, 6)",50
"(2, 4, 4)",50
"(2, 4, 6)",50
"(2, 6, 4)",50
"(2, 6, 6)",50
"(3, 4, 4)",50
"(3, 4, 6)",50
"(3, 6, 4)",50
"(3, 6, 6)",50
"(4, 4, 4)",50
"(4, 4, 6)",50
"(4, 6, 4)",50
"(4, 6, 6)",50
"(5, 4, 4)",50
"(5, 4, 6)",50
"(5, 6, 4)",50
"(5, 6, 6)",50
"(6, 4, 4)",50
"(6, 4, 6)",50
"(6, 6, 4)",50
"(6, 6, 6)",50
"(7, 4, 4)",50
"(7, 4, 6)",49
"(7, 6, 4)",53
"(7, 6, 6)",50
"(8, 0, 4)",10
"(8, 0, 6)",90
"(9, 0, 0)",53
"(1, 4, 4)",50
"(1, 4, 6)",50
"(1, 6, 4)",50
"(1, 6, 6)",50
"(2, 4, 4)",50
"(2, 4, 6)",50
"(2, 6, 4)",50
"(2, 6, 6)",50
"(3, 4, 4)",50
"(3, 4, 6)",50
"(3, 6, 4)",50
"(3, 6, 6)",50
"(4, 4, 4)",50
"(4, 4, 6)",50
"(4, 6, 4)",50
"(4, 6, 6)",50
"(5, 4, 4)",50
"(5, 4, 6)",50
"(5, 6, 4)",50
"(5, 6, 6)",50
"(6, 4, 4)",50
"(6, 4, 6)",50
"(6, 6, 4)",50
"(6, 6, 6)",50
"(7, 4, 4)",50
"(7, 4, 6)",51
"(7, 6, 4)",49
"(7, 6, 6)",50
"(8, 0, 4)",59
"(8, 0, 6)",57
"(9, 0, 0)",49
"(1, 4, 4)",50
"(1, 4, 6)",50
"(1, 6, 4)",50
"(1, 6, 6)",50
"(2, 4, 4)",50
"(2, 4, 6)",50
"(2, 6, 4)",50
"(2, 6, 6)",50
"(3, 4, 4)",50
"(3, 4, 6)",50
"(3, 6, 4)",50
"(3, 6, 6)",50
"(4, 4, 4)",50
"(4, 4, 6)",50
"(4, 6, 4)",50
"(4, 6, 6)",50
"(5, 4, 4)",50
"(5, 4, 6)",50
"(5, 6, 4)",50
"(5, 6, 6)",50
"(6, 4, 4)",50
"(6, 4, 6)",50
"(6, 6, 4)",50
"(6, 6, 6)",50
"(7, 4, 4)",50
"(7, 4, 6)",49
"(7, 6, 4)",53
"(7, 6, 6)",50
"(8, 0, 4)",48
"(8, 0, 6)",48
"(9, 0, 0)",34
"(1, 4, 4)",50
"(1, 4, 6)",50
"(1, 6, 4)",50
"(1, 6, 6)",50
"(2, 4, 4)",50
"(2, 4, 6)",50
"(2, 6, 4)",50
"(2, 6, 6)",50
"(3, 4, 4)",50
"(3, 4, 6)",50
"(3, 6, 4)",50
"(3, 6, 6)",50
"(4, 4, 4)",50
"(4, 4, 6)",50
"(4, 6, 4)",50
"(4, 6, 6)",50
"(5, 4, 4)",50
"(5, 4, 6)",50
"(5, 6, 4)",50
"(5, 6, 6)",50
"(6, 4, 4)",50
"(6, 4, 6)",50
"(6, 6, 4)",50
"(6, 6, 6)",50
"(7, 4, 4)",50
"(7, 4, 6)",49
"(7, 6, 4)",47
"(7, 6, 6)",50
"(8, 0, 4)",34
"(8, 0, 6)",42
"(9, 0, 0)",53
tt,10
tt,90
