val	probability
0	0.00020700015054249692
1	0.009883835215256811
2	0.03699406905035714
3	0.04050845031790295
4	0.02676044924087243
5	0.025266094442758527
6	0.021546841709444365
7	0.051976979500946784
8	0.20756540544766097
9	0.20571769716823593
10	0.26343347207501155
11	0.053485273128929645
12	0.05665443255208079
