test,true,false,time
is_sticky,884,116,0.261698
is_left_sticky,280,720,0.178958
is_right_sticky,301,699,0.169719
is_rl_balanced,294,706,0.181388
(is_height_x 0),95,905,0.178814
(is_height_x 1),43,957,0.200471
(is_height_x 2),68,932,0.233252
(is_height_x 3),198,802,0.180034
(is_height_x 4),607,393,0.175218
(is_sticky_and_height_x 0),98,902,0.178565
(is_sticky_and_height_x 1),38,962,0.178923
(is_sticky_and_height_x 2),52,948,0.178366
(is_sticky_and_height_x 3),178,822,0.188340
(is_sticky_and_height_x 4),518,482,0.225428
(is_prop_and_height_x is_rl_balanced 0),94,906,0.248739
(is_prop_and_height_x is_rl_balanced 1),46,954,0.231216
(is_prop_and_height_x is_rl_balanced 2),,1000,0.243418
(is_prop_and_height_x is_rl_balanced 3),85,915,0.251603
(is_prop_and_height_x is_rl_balanced 4),42,958,0.227650
(is_prop_and_height_x is_left_sticky 0),100,900,0.242499
(is_prop_and_height_x is_left_sticky 1),48,952,0.202360
(is_prop_and_height_x is_left_sticky 2),29,971,0.226001
(is_prop_and_height_x is_left_sticky 3),39,961,0.260398
(is_prop_and_height_x is_left_sticky 4),76,924,0.235267
(is_prop_and_height_x is_right_sticky 0),85,915,0.243780
(is_prop_and_height_x is_right_sticky 1),48,952,0.251053
(is_prop_and_height_x is_right_sticky 2),26,974,0.239840
(is_prop_and_height_x is_right_sticky 3),50,950,0.185689
(is_prop_and_height_x is_right_sticky 4),50,950,0.180578
