case,weight
"(2, 2)",50
"(2, 4)",44
"(4, 2)",58
"(4, 4)",47
"(2, 2)",29
"(2, 4)",72
"(4, 2)",35
"(4, 4)",41
"(2, 2)",60
"(2, 4)",49
"(4, 2)",46
"(4, 4)",31
"(1, 2, 2)",20
"(1, 2, 4)",17
"(1, 4, 2)",19
"(1, 4, 4)",11
"(2, 0, 2)",10
"(2, 0, 4)",10
"(3, 0, 0)",10
"(1, 2, 2)",90
"(1, 2, 4)",90
"(1, 4, 2)",90
"(1, 4, 4)",90
"(2, 0, 2)",90
"(2, 0, 4)",90
"(3, 0, 0)",90
"(1, 2, 2)",90
"(1, 2, 4)",90
"(1, 4, 2)",89
"(1, 4, 4)",90
"(2, 0, 2)",90
"(2, 0, 4)",90
"(3, 0, 0)",90
"(1, 2, 2)",10
"(1, 2, 4)",10
"(1, 4, 2)",10
"(1, 4, 4)",10
"(2, 0, 2)",10
"(2, 0, 4)",10
"(3, 0, 0)",10
"(1, 2, 2)",68
"(1, 2, 4)",56
"(1, 4, 2)",53
"(1, 4, 4)",60
"(2, 0, 2)",41
"(2, 0, 4)",52
"(3, 0, 0)",52
"(1, 2, 2)",60
"(1, 2, 4)",47
"(1, 4, 2)",41
"(1, 4, 4)",39
"(2, 0, 2)",42
"(2, 0, 4)",57
"(3, 0, 0)",62
"(1, 2, 2)",43
"(1, 2, 4)",61
"(1, 4, 2)",52
"(1, 4, 4)",24
"(2, 0, 2)",50
"(2, 0, 4)",55
"(3, 0, 0)",49
tt,10
tt,90
