case,weight
(2),16
(4),17
(2),84
(4),14
(2),17
(4),17
"(1, 2)",13
"(1, 4)",18
"(2, 2)",10
"(2, 4)",10
"(3, 0)",10
"(1, 2)",18
"(1, 4)",38
"(2, 2)",12
"(2, 4)",15
"(3, 0)",10
"(1, 2)",34
"(1, 4)",35
"(2, 2)",13
"(2, 4)",16
"(3, 0)",10
"(1, 2)",89
"(1, 4)",90
"(2, 2)",90
"(2, 4)",90
"(3, 0)",90
"(1, 2)",74
"(1, 4)",26
"(2, 2)",60
"(2, 4)",69
"(3, 0)",41
"(1, 2)",72
"(1, 4)",28
"(2, 2)",46
"(2, 4)",81
"(3, 0)",20
"(1, 2)",84
"(1, 4)",74
"(2, 2)",68
"(2, 4)",43
"(3, 0)",64
tt,10
tt,90
