case,weight
(2),48
(4),31
"(1, 2)",79
"(1, 4)",68
"(2, 2)",36
"(2, 4)",15
"(3, 2)",10
"(3, 4)",11
"(4, 2)",10
"(4, 4)",10
"(5, 2)",10
"(5, 4)",10
"(6, 2)",10
"(6, 4)",10
"(7, 0)",10
"(1, 2)",90
"(1, 4)",90
"(2, 2)",90
"(2, 4)",90
"(3, 2)",90
"(3, 4)",90
"(4, 2)",90
"(4, 4)",90
"(5, 2)",90
"(5, 4)",90
"(6, 2)",90
"(6, 4)",90
"(7, 0)",90
"(1, 2)",90
"(1, 4)",90
"(2, 2)",90
"(2, 4)",90
"(3, 2)",90
"(3, 4)",90
"(4, 2)",90
"(4, 4)",90
"(5, 2)",90
"(5, 4)",90
"(6, 2)",90
"(6, 4)",90
"(7, 0)",90
"(1, 2)",10
"(1, 4)",10
"(2, 2)",10
"(2, 4)",10
"(3, 2)",10
"(3, 4)",10
"(4, 2)",10
"(4, 4)",10
"(5, 2)",10
"(5, 4)",10
"(6, 2)",10
"(6, 4)",10
"(7, 0)",10
"(1, 2)",53
"(1, 4)",49
"(2, 2)",61
"(2, 4)",63
"(3, 2)",65
"(3, 4)",51
"(4, 2)",44
"(4, 4)",61
"(5, 2)",58
"(5, 4)",44
"(6, 2)",56
"(6, 4)",50
"(7, 0)",65
tt,10
tt,90
