case,weight
(2),43
(4),46
"(1, 2)",80
"(1, 4)",85
"(2, 2)",56
"(2, 4)",20
"(3, 2)",11
"(3, 4)",10
"(4, 2)",11
"(4, 4)",12
"(5, 2)",11
"(5, 4)",10
"(6, 2)",10
"(6, 4)",10
"(7, 2)",11
"(7, 4)",10
"(8, 2)",10
"(8, 4)",10
"(9, 0)",10
"(1, 2)",90
"(1, 4)",90
"(2, 2)",90
"(2, 4)",90
"(3, 2)",90
"(3, 4)",90
"(4, 2)",90
"(4, 4)",90
"(5, 2)",90
"(5, 4)",90
"(6, 2)",90
"(6, 4)",90
"(7, 2)",90
"(7, 4)",90
"(8, 2)",90
"(8, 4)",90
"(9, 0)",90
"(1, 2)",90
"(1, 4)",90
"(2, 2)",89
"(2, 4)",90
"(3, 2)",90
"(3, 4)",90
"(4, 2)",90
"(4, 4)",90
"(5, 2)",90
"(5, 4)",90
"(6, 2)",90
"(6, 4)",90
"(7, 2)",90
"(7, 4)",90
"(8, 2)",90
"(8, 4)",90
"(9, 0)",90
"(1, 2)",10
"(1, 4)",10
"(2, 2)",10
"(2, 4)",10
"(3, 2)",10
"(3, 4)",10
"(4, 2)",10
"(4, 4)",10
"(5, 2)",10
"(5, 4)",10
"(6, 2)",10
"(6, 4)",10
"(7, 2)",10
"(7, 4)",10
"(8, 2)",10
"(8, 4)",10
"(9, 0)",10
"(1, 2)",52
"(1, 4)",35
"(2, 2)",43
"(2, 4)",74
"(3, 2)",27
"(3, 4)",21
"(4, 2)",67
"(4, 4)",66
"(5, 2)",63
"(5, 4)",47
"(6, 2)",37
"(6, 4)",60
"(7, 2)",47
"(7, 4)",60
"(8, 2)",28
"(8, 4)",44
"(9, 0)",74
tt,10
tt,90
