test,true,false,time
is_sticky,1000,,0.571594
is_left_sticky,2,998,0.304248
is_right_sticky,3,997,0.314115
is_rl_balanced,41,959,0.301338
(is_height_x 0),,1000,0.289306
(is_height_x 1),,1000,0.336027
(is_height_x 2),,1000,0.290918
(is_height_x 3),,1000,0.302158
(is_height_x 4),,1000,0.303983
(is_height_x 5),4,996,0.300340
(is_height_x 6),7,993,0.342090
(is_height_x 7),22,978,0.384298
(is_height_x 8),30,970,0.294514
(is_height_x 9),176,824,0.293969
(is_height_x 10),784,216,0.295236
(is_sticky_and_height_x 0),,1000,0.293586
(is_sticky_and_height_x 1),,1000,0.297143
(is_sticky_and_height_x 2),,1000,0.303577
(is_sticky_and_height_x 3),,1000,0.372888
(is_sticky_and_height_x 4),,1000,0.385827
(is_sticky_and_height_x 5),3,997,0.296515
(is_sticky_and_height_x 6),3,997,0.297235
(is_sticky_and_height_x 7),12,988,0.298827
(is_sticky_and_height_x 8),37,963,0.304109
(is_sticky_and_height_x 9),188,812,0.300429
(is_sticky_and_height_x 10),775,225,0.302593
(is_prop_and_height_x is_rl_balanced 0),,1000,0.341236
(is_prop_and_height_x is_rl_balanced 1),,1000,0.361664
(is_prop_and_height_x is_rl_balanced 2),,1000,0.330826
(is_prop_and_height_x is_rl_balanced 3),,1000,0.296208
(is_prop_and_height_x is_rl_balanced 4),,1000,0.303808
(is_prop_and_height_x is_left_sticky 0),,1000,0.296895
(is_prop_and_height_x is_left_sticky 1),,1000,0.304369
(is_prop_and_height_x is_left_sticky 2),,1000,0.292470
(is_prop_and_height_x is_left_sticky 3),,1000,0.300206
(is_prop_and_height_x is_left_sticky 4),,1000,0.302069
(is_prop_and_height_x is_right_sticky 0),,1000,0.296576
(is_prop_and_height_x is_right_sticky 1),,1000,0.302345
(is_prop_and_height_x is_right_sticky 2),,1000,0.290585
(is_prop_and_height_x is_right_sticky 3),,1000,0.308263
(is_prop_and_height_x is_right_sticky 4),,1000,0.289237
