case,weight
(2),63
(4),59
"(1, 2)",28
"(1, 4)",53
"(2, 2)",5
"(2, 4)",5
"(3, 2)",1
"(3, 4)",3
"(4, 2)",1
"(4, 4)",1
"(5, 2)",0
"(5, 4)",1
"(6, 2)",0
"(6, 4)",0
"(7, 2)",0
"(7, 4)",0
"(8, 2)",0
"(8, 4)",0
"(9, 0)",0
"(1, 2)",87
"(1, 4)",87
"(2, 2)",90
"(2, 4)",89
"(3, 2)",87
"(3, 4)",76
"(4, 2)",91
"(4, 4)",87
"(5, 2)",90
"(5, 4)",91
"(6, 2)",82
"(6, 4)",80
"(7, 2)",88
"(7, 4)",80
"(8, 2)",83
"(8, 4)",82
"(9, 0)",88
"(1, 2)",84
"(1, 4)",80
"(2, 2)",81
"(2, 4)",84
"(3, 2)",88
"(3, 4)",91
"(4, 2)",84
"(4, 4)",88
"(5, 2)",87
"(5, 4)",84
"(6, 2)",92
"(6, 4)",92
"(7, 2)",89
"(7, 4)",93
"(8, 2)",92
"(8, 4)",92
"(9, 0)",92
"(1, 2)",0
"(1, 4)",0
"(2, 2)",0
"(2, 4)",0
"(3, 2)",0
"(3, 4)",0
"(4, 2)",0
"(4, 4)",0
"(5, 2)",0
"(5, 4)",0
"(6, 2)",0
"(6, 4)",0
"(7, 2)",0
"(7, 4)",0
"(8, 2)",0
"(8, 4)",0
"(9, 0)",0
"(1, 2)",62
"(1, 4)",59
"(2, 2)",56
"(2, 4)",62
"(3, 2)",48
"(3, 4)",52
"(4, 2)",44
"(4, 4)",32
"(5, 2)",54
"(5, 4)",30
"(6, 2)",41
"(6, 4)",49
"(7, 2)",36
"(7, 4)",46
"(8, 2)",34
"(8, 4)",39
"(9, 0)",41
tt,0
tt,89
