case,weight
(2),50
(4),50
"(1, 2)",50
"(1, 4)",50
"(2, 2)",50
"(2, 4)",50
"(3, 0)",50
"(1, 2)",50
"(1, 4)",50
"(2, 2)",50
"(2, 4)",50
"(3, 0)",50
"(1, 2)",50
"(1, 4)",50
"(2, 2)",50
"(2, 4)",50
"(3, 0)",50
"(1, 2)",50
"(1, 4)",50
"(2, 2)",50
"(2, 4)",50
"(3, 0)",50
"(1, 2)",50
"(1, 4)",50
"(2, 2)",50
"(2, 4)",50
"(3, 0)",50
tt,90
tt,10
