0	0.73
1	0.79
2	0.69
3	0.715
4	0.765
5	0.65
6	0.725
7	0.66
8	0.695
9	0.61
10	0.655
11	0.75
12	0.73
13	0.715
14	0.72
15	0.76
16	0.73
17	0.765
18	0.715
19	0.755
20	0.75
21	0.81
22	0.77
23	0.805
24	0.785
25	0.855
26	0.85
27	0.83
28	0.835
29	0.84
30	0.85
31	0.83
32	0.84
33	0.845
34	0.835
35	0.855
36	0.88
37	0.865
38	0.84
39	0.84
40	0.895
41	0.855
42	0.875
43	0.885
44	0.875
45	0.875
46	0.88
47	0.875
48	0.91
49	0.865
50	0.89
51	0.89
52	0.89
53	0.915
54	0.925
55	0.88
56	0.89
57	0.9
58	0.915
59	0.9
60	0.925
61	0.91
62	0.91
63	0.93
64	0.945
65	0.96
66	0.915
67	0.925
68	0.95
69	0.925
70	0.935
71	0.96
72	0.96
73	0.955
74	0.93
75	0.94
76	0.935
77	0.98
78	0.945
79	0.955
80	0.955
81	0.97
82	0.935
83	0.96
84	0.935
85	0.96
86	0.955
87	0.955
88	0.97
89	0.97
90	0.95
91	0.96
92	0.945
93	0.955
94	0.975
95	0.945
96	0.97
97	0.965
98	0.965
99	0.975
100	0.995
101	0.97
102	0.975
103	0.97
104	0.99
105	0.99
106	0.98
107	0.96
108	0.98
109	0.965
110	0.99
111	0.975
112	0.97
113	0.96
114	0.99
115	0.975
116	0.98
117	0.97
118	0.975
119	0.98
120	0.985
121	0.995
122	0.995
123	0.98
124	0.985
125	0.98
126	0.97
127	0.98
128	0.995
129	0.98
130	0.98
131	0.995
132	0.995
133	0.995
134	1.0
135	1.0
136	0.985
137	0.995
138	0.985
139	0.995
140	0.995
141	0.99
142	0.995
143	0.97
144	1.0
145	1.0
146	0.99
147	0.985
148	0.97
149	0.995
150	0.985
151	0.995
152	0.98
153	0.985
154	0.995
155	0.99
156	0.98
157	0.995
158	0.985
159	0.99
160	0.98
161	0.995
162	0.99
163	0.985
164	0.995
165	0.99
166	0.98
167	1.0
168	0.985
169	0.975
170	1.0
171	0.98
172	0.985
173	0.985
174	0.99
175	0.995
176	0.975
177	0.965
178	1.0
179	0.98
180	0.995
181	0.98
182	0.99
183	0.99
184	0.99
185	0.995
186	0.985
187	0.995
188	0.995
189	0.99
190	0.995
191	0.985
192	0.985
193	1.0
194	0.99
195	0.99
196	0.98
197	1.0
198	0.99
199	0.99
200	0.99
201	0.995
202	1.0
203	0.98
204	0.99
205	1.0
206	1.0
207	0.995
208	1.0
209	0.985
210	0.995
211	1.0
212	0.985
213	1.0
214	1.0
215	0.995
216	0.995
217	0.99
218	0.985
219	1.0
220	0.99
221	0.995
222	0.995
223	0.995
224	0.995
225	1.0
226	0.995
227	1.0
228	0.995
229	1.0
230	0.995
231	0.995
232	0.985
233	1.0
234	0.985
235	0.99
236	1.0
237	1.0
238	0.995
239	0.985
240	0.995
241	1.0
242	0.99
243	1.0
244	0.995
245	1.0
246	1.0
247	0.995
248	0.99
249	1.0
250	0.99
251	1.0
252	0.995
253	0.995
254	0.99
255	0.99
256	0.995
257	1.0
258	0.995
259	1.0
260	0.995
261	0.995
262	0.995
263	0.995
264	0.985
265	0.98
266	1.0
267	0.99
268	0.995
269	1.0
270	0.995
271	1.0
272	1.0
273	1.0
274	0.995
275	1.0
276	0.99
277	0.99
278	0.995
279	1.0
280	0.995
281	0.99
282	1.0
283	0.99
284	0.99
285	1.0
286	1.0
287	0.995
288	1.0
289	0.995
290	0.99
291	1.0
292	0.995
293	1.0
294	1.0
295	0.985
296	0.995
297	1.0
298	1.0
299	1.0
300	0.99
301	1.0
302	0.995
303	0.995
304	0.98
305	1.0
306	1.0
307	1.0
308	0.995
309	0.99
310	0.99
311	0.995
312	0.995
313	0.985
314	0.99
315	0.995
316	0.985
317	0.99
318	1.0
319	1.0
320	0.995
321	0.995
322	0.995
323	1.0
324	1.0
325	1.0
326	0.995
327	0.995
328	1.0
329	0.995
330	0.995
331	1.0
332	0.99
333	1.0
334	0.99
335	1.0
336	0.99
337	1.0
338	1.0
339	1.0
340	1.0
341	0.99
342	0.995
343	0.99
344	0.995
345	0.98
346	0.995
347	0.995
348	0.99
349	0.995
350	0.985
351	0.99
352	0.995
353	0.995
354	1.0
355	1.0
356	0.995
357	0.99
358	1.0
359	1.0
360	0.99
361	0.995
362	1.0
363	0.995
364	0.995
365	1.0
366	0.995
367	1.0
368	0.995
369	1.0
370	0.995
371	0.995
372	1.0
373	1.0
374	0.995
375	0.995
376	1.0
377	0.995
378	0.985
379	1.0
380	1.0
381	0.985
382	1.0
383	0.995
384	0.995
385	1.0
386	1.0
387	0.99
388	0.99
389	1.0
390	1.0
391	1.0
392	0.995
393	1.0
394	1.0
395	0.995
396	0.995
397	0.995
398	1.0
399	0.995
400	0.99
401	0.99
402	1.0
403	1.0
404	1.0
405	0.99
406	0.99
407	0.99
408	0.985
409	0.995
410	1.0
411	0.995
412	0.99
413	0.995
414	1.0
415	0.99
416	1.0
417	0.995
418	0.995
419	0.985
420	0.995
421	1.0
422	0.99
423	0.995
424	0.995
425	1.0
426	0.995
427	1.0
428	1.0
429	0.99
430	1.0
431	1.0
432	1.0
433	0.995
434	0.995
435	0.995
436	0.99
437	0.995
438	1.0
439	1.0
440	1.0
441	1.0
442	0.995
443	0.99
444	1.0
445	0.99
446	0.99
447	0.99
448	0.995
449	1.0
450	1.0
451	0.995
452	0.99
453	0.995
454	0.99
455	1.0
456	1.0
457	0.99
458	0.995
459	1.0
460	0.995
461	0.995
462	0.995
463	0.995
464	1.0
465	0.995
466	0.995
467	1.0
468	1.0
469	0.985
470	0.995
471	0.995
472	0.995
473	1.0
474	1.0
475	1.0
476	1.0
477	0.995
478	0.995
479	0.995
480	1.0
481	1.0
482	1.0
483	1.0
484	0.99
485	1.0
486	0.995
487	0.995
488	1.0
489	1.0
490	1.0
491	1.0
492	1.0
493	1.0
494	0.995
495	0.995
496	1.0
497	1.0
498	1.0
499	0.995
500	1.0
501	0.995
502	0.995
503	1.0
504	1.0
505	0.995
506	1.0
507	1.0
508	1.0
509	1.0
510	0.995
511	1.0
512	0.995
513	1.0
514	0.995
515	0.995
516	1.0
517	1.0
518	1.0
519	1.0
520	1.0
521	0.99
522	0.995
523	0.995
524	1.0
525	1.0
526	0.99
527	1.0
528	0.995
529	0.99
530	1.0
531	0.99
532	0.99
533	0.995
534	1.0
535	0.995
536	1.0
537	0.995
